NetworkInterfaceId,SubnetId,Description,Status,PrivateIpAddress,Groups
eni-013478daaf378467c,subnet-08a765fe7af589486,,in-use,10.61.143.174,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0ab58f3e61fa64443,subnet-08a765fe7af589486,ELB app/env-265045-appelb/ed67faad8e124533,in-use,10.61.142.24,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0ab0e64b03ad4a0e4,subnet-08a765fe7af589486,RDSNetworkInterface,in-use,10.61.131.210,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-031e40fd69667ab95,subnet-08a765fe7af589486,,in-use,10.61.140.151,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0fbf02cdb97dd6b1d,subnet-08a765fe7af589486,ELB env-252738-elb-rdp,in-use,10.61.136.202,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0d3a04ccba0dd204a,subnet-08a765fe7af589486,ELB env-252442-elb-rdp,in-use,10.61.136.168,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0dee0c94edfb6cb38,subnet-08a765fe7af589486,,in-use,10.61.136.29,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0a3dc66f93a2af9ea,subnet-08a765fe7af589486,Network Interface for Transit Gateway Attachment tgw-attach-05ec95ccbe0fca8a4,in-use,10.61.138.158,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0d6222f3330decc50,subnet-08a765fe7af589486,ELB env-247760-elb-rdp,in-use,10.61.133.228,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0cbd6db95370e0f35,subnet-08a765fe7af589486,Primary network interface,in-use,10.61.137.196,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-07114a9aa68784bfa,subnet-08a765fe7af589486,,in-use,10.61.138.56,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-03c258b32932f1fb2,subnet-08a765fe7af589486,ELB env-265045-elb-rdp,in-use,10.61.139.147,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-099e559b78f80fd32,subnet-08a765fe7af589486,,in-use,10.61.128.251,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0e6c7262e7e39d5d4,subnet-08a765fe7af589486,ELB env-265045-elb-rdp,in-use,10.61.134.173,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-052d7d66f9d22db8a,subnet-08a765fe7af589486,EFS mount target for fs-dfc4c4d8 (fsmt-2d454a28),in-use,10.61.136.120,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-056cbedc8ccc538d1,subnet-08a765fe7af589486,ELB env-252442-elb-rdp,in-use,10.61.131.160,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-07b0a4b41978a5cda,subnet-08a765fe7af589486,,in-use,10.61.134.10,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0052ae13eabfe21fc,subnet-08a765fe7af589486,Primary network interface,in-use,10.61.140.16,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-00b624318f2939c6f,subnet-0cb4b7634cea47668,ELB app/BuildTools-Internal-ALB/0d08d62340735989,in-use,10.61.88.77,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0c140ae05b240a17e,subnet-0cb4b7634cea47668,Network Interface for Transit Gateway Attachment tgw-attach-00f2f7a01586d65a1,in-use,10.61.88.204,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-09c7c161b0f4213fd,subnet-0cb4b7634cea47668,Primary network interface,in-use,10.61.89.145,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-049aff23abade6b07,subnet-0cb4b7634cea47668,Primary network interface,in-use,10.61.89.132,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0b30a42dc7f4b06c7,subnet-0cb4b7634cea47668,ELB app/AEM-INTERNAL-ALB/548e87efaa828a31,in-use,10.61.89.240,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0420cc6fcd23727e9,subnet-06c1f0f6210410928,Interface for NAT Gateway nat-08db7d4f0210f679d,in-use,10.61.83.253,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0d1b91953b9f920c5,subnet-0cb4b7634cea47668,Primary network interface,in-use,10.61.88.31,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0dc6df9de22b0eef2,subnet-02013038b0fa26097,Network Interface for Transit Gateway Attachment tgw-attach-00f2f7a01586d65a1,in-use,10.61.91.234,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-018f077a3535c8e9d,subnet-02013038b0fa26097,ELB app/BuildTools-Internal-ALB/0d08d62340735989,in-use,10.61.91.104,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0b8810daa0ed6d831,subnet-02b17643414aa7bb2,Interface for NAT Gateway nat-0c9c26a6e97410803,in-use,10.61.85.196,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-05a911c0d44fe30bd,subnet-0ca728b67448755f2,Primary network interface,in-use,10.61.81.232,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0113f2dc093ec7068,subnet-03faf3033e845422a,Primary network interface,in-use,10.61.86.169,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-07e3d4a1e7062ec3d,subnet-03faf3033e845422a,Primary network interface,in-use,10.61.87.140,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-074e7ae9d53f2fb13,subnet-03faf3033e845422a,Primary network interface,in-use,10.61.87.198,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0f2fbf2e3caff2007,subnet-0ca728b67448755f2,Interface for NAT Gateway nat-0f2c0d8cdc6aa6826,in-use,10.61.81.250,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0c44c1c1e5fad1608,subnet-03faf3033e845422a,Primary network interface,in-use,10.61.86.209,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-08dcd97880cf27001,subnet-03faf3033e845422a,Network Interface for Transit Gateway Attachment tgw-attach-00f2f7a01586d65a1,in-use,10.61.87.144,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-00ec061fff94a9a2a,subnet-03faf3033e845422a,Primary network interface,in-use,10.61.87.80,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0c7480b8ce99b2878,subnet-03faf3033e845422a,Primary network interface,in-use,10.61.86.181,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0b6c30ccb5f6fc91a,subnet-03faf3033e845422a,Primary network interface,in-use,10.61.87.38,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-04e7f1e8b1134a017,subnet-03faf3033e845422a,ELB app/AEM-INTERNAL-ALB/548e87efaa828a31,in-use,10.61.86.36,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
