"NetworkInterfaceId","SubnetId","Description","Status","PrivateIpAddress","Groups"
"eni-0dcc0278469bc48c9","subnet-0f32f436c3e8f1b72","ELB net/microstrategy-nlb2/f5930712117af9e0","in-use","10.62.250.112","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-03ec3f5010abecd8a","subnet-0f32f436c3e8f1b72","ELB net/paloalto-sftp-nlb/1040e43b1a6e8354","in-use","10.62.250.95","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0bf15efba78e8a0ce","subnet-0f32f436c3e8f1b72",,"in-use","10.62.250.120","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-04e3041e2f831f349","subnet-07e4aa3a555c5d940","EFS mount target for fs-c4dac1c1 (fsmt-8bb5d98e)","in-use","10.62.7.252","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-099d58a9a92933cd1","subnet-07e4aa3a555c5d940","ELB bos-ssnp-splunk-clb","in-use","10.62.7.33","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f58978cd7e5d3b34","subnet-07e4aa3a555c5d940",,"in-use","10.62.6.98","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-088e1aec066914d73","subnet-07e4aa3a555c5d940",,"in-use","10.62.6.19","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0d300ff57ae9b3363","subnet-07e4aa3a555c5d940","aws-K8S-i-03b969e1898843f60","in-use","10.62.6.6","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-03b6de1dbb9b7b234","subnet-07e4aa3a555c5d940","VPC Endpoint Interface vpce-0c963eda56ef47a46","in-use","10.62.6.187","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-015e4f45885fa9b43","subnet-07e4aa3a555c5d940","VPC Endpoint Interface vpce-0cc9d5044c43448b3","in-use","10.62.6.171","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-003bea99cc698fe12","subnet-01d5d0705682cc555","Primary network interface","in-use","10.62.240.84","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-090fd3858f9a67ff3","subnet-07e4aa3a555c5d940",,"in-use","10.62.6.45","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-09962f97647a8fd3f","subnet-07e4aa3a555c5d940","datasync client for loc-01f4a6d4c33f2c0f8 (task-000405548c651305f)","available","10.62.7.25","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0c77e65e550fc3402","subnet-0a2237794f684e1e9","VPC Endpoint Interface vpce-0ce1e14081971d607","in-use","10.132.10.218","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
